1082	2985
1772	8852
3518	15
905	7769
1523	8961
1757	2590
1649	1079
3614	735
591	1254
2372	3823
3281	3540
1934	7371
2939	1088
3613	1785
473	8368
119	10309
2637	2415
1589	2296
3238	1936
3603	7273
2225	7928
1376	1307
2	1052
3271	3553
3716	5992
2387	442
1416	7938
14	7580
3372	190
1283	2907
2725	7071
1285	1400
696	5922
156	9153
2434	24
3144	2113
3234	9080
3396	1775
159	3449
1208	6272
964	4124
3064	257
2416	10299
1980	9013
1106	442
143	4991
2677	4068
1071	2536
2928	4008
1131	9122
687	1814
3548	9183
3225	2345
994	7192
1456	352
2194	1351
2548	10241
2842	1824
3249	5197
54	906
60	128
200	1385
1117	1993
188	7505
1998	10033
838	6746
2469	8217
3318	5904
313	4835
2344	7538
2814	3476
1922	2156
1446	1174
487	3296
2789	8469
1597	7703
3328	6516
1071	568
1054	7870
821	9814
1460	213
335	346
3684	11276
714	5167
633	568
2393	3844
417	5850
2357	8454
824	1021
3143	1954
2241	2305
3002	5726
3313	4204
1515	8971
2772	5250
2377	2134
1723	9898
2273	9970
751	2700
1152	6993
3169	6719
2713	9559
3383	7146
2023	2003
1303	9411
270	8920
3467	5010
1042	3130
2030	6564
1435	5143
3688	3019
1757	10327
608	11075
1376	7321
997	236
1760	7100
1915	9688
88	10105
497	10978
664	8196
2047	2373
1276	9435
2593	8768
764	8731
2397	10775
3366	5989
2360	9113
2361	2163
793	5768
2477	8122
654	981
3388	1915
857	1323
605	579
2158	10987
3111	10601
3440	6084
215	8422
2333	6259
2144	6619
2942	10389
3213	3411
59	5775
2520	5686
325	6048
2026	7852
3589	6050
2956	5488
1758	9882
2320	6383
3715	5547
2606	495
2912	2167
2207	5012
3205	7332
890	6799
2351	4204
1810	2023
2228	8406
2926	135
2373	1343
1189	9797
975	1532
1149	701
2114	2767
306	4903
3169	2827
396	7132
2661	6408
2308	8953
2441	8595
1362	2773
2944	8483
675	8734
3345	6130
3540	7769
2700	10841
1262	4915
592	10854
1418	169
2222	9627
1360	365
60	5175
2207	853
1916	7321
2108	10175
1004	4235
2411	2104
636	1096
2082	877
1721	10101
2904	1863
721	992
2346	5874
2882	7032
1768	1313
187	11050
1572	9370
2879	7493
2760	6707
2291	4591
812	5218
1876	452
2785	9400
2039	7749
1426	10867
2873	5547
1684	8688
2230	6374
2312	4196
1469	6027
281	1634
2520	9647
581	770
2780	7516
1411	1322
980	844
2361	11061
1208	7724
548	5547
1840	7449
3147	5824
768	879
3169	5661
1776	10530
77	8230
522	3737
168	1739
2390	271
3698	7181
24	3279
1972	3941
284	2695
3196	1323
3104	3339
231	1876
1081	7580
1926	4065
1593	6416
381	210
3531	5293
1106	1041
1197	9394
2130	3852
1176	1376
1137	8047
2844	5209
1940	5923
3628	6903
3496	2278
481	8052
654	9297
1902	791
2144	2316
416	3940
2593	7583
3510	5088
2852	141
3578	9316
2331	1583
3076	6093
3000	5407
1505	7028
2359	2286
324	979
3702	6651
581	2783
540	3914
330	6788
3429	9284
3152	6512
1434	46
411	4247
215	7646
1152	2431
3563	535
3454	3606
1959	2678
2527	68
1971	8425
290	417
2540	3196
766	8819
2281	1238
381	10891
1940	7292
592	2577
